Title,Link,Source,Summary,Date
"Nová šéfka ČTÚ Továrková není ve střetu zájmů, uvedlo Ministerstvo spravedlnosti Více na: https://www.mobilmania.cz/clanky/nova-sefka-ctu-tovarkova-neni-ve-stretu-zajmu-uvedlo-ministerstvo-spravedlnosti/sc-3-a-1347612/default.aspx",https://www.mobilmania.cz/clanky/nova-sefka-ctu-tovarkova-neni-ve-stretu-zajmu-uvedlo-ministerstvo-spravedlnosti/sc-3-a-1347612/default.aspx,"MobilMania, 26. února, 2020","Nová předsedkyně Rady Českého telekomunikačního úřadu (ČTÚ) Hana Továrková, která od února nahradila ve funkci Jaromíra Nováka, není ve střetu zájmů. Jako výsledek svého šetření to konstatovalo Ministerstvo spravedlnosti. Střet zájmů Továrkové mohl vzniknout jejím současným působením v advokátních službách a v některých hospodářských organizacích zastřešujících mimo jiné i telefonní operátory.",26.02.2020
"Maďarsko vydražilo 5G kmitočty, získalo za ně v přepočtu skoro 10 miliard Kč",https://www.lupa.cz/aktuality/madarsko-vydrazilo-5g-kmitocty-ziskalo-za-ne-v-prepoctu-skoro-10-miliard-kc/,"Lupa.cz, 27. března, 2020","Ani epidemie koronaviru nezastavila rozběhlou aukci 5G kmitočtů v Maďarsku. Tamní regulátor NMHH vydražil kmitočty v pásmech 700 MHz, 2100 MHz, 2600 MHz a 3600 MHz za celkových 128,49 miliard forintů (v přepočtu cca 9,9 miliardy Kč). Informovala o tom agentura Reuters, podle které jde asi o trojnásobek původně předpokládaného výnosu.

Aukce se zúčastnili tři hráči: Vodafone, Magyar Telekom (dceřiná firma Deutsche Telekomu) a Telenor (ze čtvrtiny vlastněný státním operátorem Antenna Hungaria).",27.03.2020
Změněné podmínky aukce 5G sítě. Šéfka telekomunikačního úřadu odtajnila podmínky dražby,https://www.irozhlas.cz/veda-technologie/technologie/telekomunikace-5g-sit-podminky-parametry-mobilni-operatori_2003031200_aur,"iRozhlas, 03. března, 2020",Nedávno zvolená předsedkyně Rady Českého telekomunikačního úřadu už má hotové a upravené parametry aukce frekvencí pro 5G sítě. Od dražby se očekává i vstup dalšího mobilního operátora na český trh a snížení cen. Továrková podmínky představila v tomto týdnu mobilním operátorům a zástupcům průmyslu. Možnost seznámit se s podmínkami dostal i Radiožurnál.,03.03.2020
Rýsuje se čtvrtý mobilní operátor. Bude ho vlastnit stát,https://www.idnes.cz/mobil/mobilni-operatori/ctvrty-operator-cez-statni-operator-aukce-5g.A200317_122540_mobilni-operatori_jm,"iDnes, 17. března, 2020","Energetická společnost ČEZ zvažuje účast v aukci mobilních kmitočtů pro sítě páté generace. Mohl by tak vzniknout státní operátor, protože majoritním vlastníkem společnosti ČEZ je prostřednictvím ministerstev stát. Ve společnosti drží zhruba sedmdesátiprocentní podíl.",17.03.2020
DRFG pokračuje ve slovenské expanzi. Přebírá společnost TeleDat,https://www.e15.cz/byznys/technologie-a-media/drfg-pokracuje-ve-slovenske-expanzi-prebira-spolecnost-teledat-1367531,"e15, 10. března, 2020",Investiční skupina DRFG dál rozšiřuje svůj byznys na Slovensku. Přebírá prostřednictvím své odnože Suntel Group společnost TeleDat komunikačné systémy (TeleDat). Už na začátku roku koupila firmu Lukromtel. Na otázky ohledně parametrů transakce včetně ceny DRFG neodpověděla.,10.03.2020
2N Telekomunikace a AngelCam uzavřely strategické partnerství,https://channelworld.cz/novinky/2n-telekomunikace-a-angelcam-uzavrely-strategicke-partnerstvi-24452,"ChannelWorld, 22. dubna 2020","Dveřní interkomy, IP kamery a další hardware z dílny společnosti 2N Telekomunikace bude nově nativně podporovat aplikaci Angelcam Connector, což má rozšířit jejich funkce a výrazně usnadnit reakci na bezpečnostní incidenty.",22.04.2020
Operátoři si vymění frekvenční příděly v pásmu 900 MHz,https://www.itbiz.cz/zpravicky/operatori-si-vymeni-frekvencni-pridely-v-pasmu-900-mhz,"IT BIZ, 17. dubna, 2020","Mobilní operátoři O2, T-Mobile a Vodafone se s Českým telekomunikačním úřadem dohodli na přeskupení nespojitých přídělů v pásmu 900 MHz. Přeladění bude podle oznámení Asociace provozovatelů mobilních sítí (APMS) probíhat během dvou nocí z 20. na 21. dubna (pondělí/úterý) a z 21. na 22. dubna 2020 (úterý/středa).",17.04.2020
Ukončení smlouvy s operátorem: Nyní bude vše jednodušší a rychlejší,https://www.e15.cz/finexpert/setrime/ukonceni-smlouvy-s-operatorem-nyni-bude-vse-jednodussi-a-rychlejsi-1368313,"e15, 03. dubna, 2020","Od 1. dubna začínají platit nová pravidla, která urychlí proces změny operátora. Nebudete totiž muset obcházet oba operátory, ale vše za vás vyřídí operátor, ke kterému přecházíte. Také se sníží pokuta za předčasné ukončení smlouvy sjednané na dobu určitou.",03.04.2020
Kellnerova PPF Telecom Group vydala dluhopisy za téměř 14 miliard korun,https://www.irozhlas.cz/ekonomika/ppf-telecom-group-dluhopisy_2005141747_cen,"iRozhlas, 14. května 2020","PPF Telecom Group, která sdružuje aktivity skupiny PPF v telekomunikacích, vydala dluhopisy v objemu půl miliardy eur, tedy asi 13,8 miliardy Kč. Čtyřleté dluhopisy budou úročené fixním ročním kuponem 3,5 procenta. Poptávka po dluhopisech 2,2krát převýšila nabídku, uvedla dnes firma na svém webu. Na vydání dluhopisů upozornil server E15.cz.",14.05.2020
Vodafone pustí v Česku Huawei jen do okrajových částí sítí 5G. Stejně to dělá v Británii,https://archiv.ihned.cz/c1-66766870-vodafone-pusti-v-cesku-huawei-jen-do-okrajovych-casti-siti-5g-stejne-jako-to-dela-v-britanii,"Hospodářské, 8. května","Zatímco USA stupňují tlak na své spojence, aby vyloučily čínského výrobce komunikačních technologií Huawei z dodávek pro nové mobilní sítě 5G, v Česku stále panuje nejistota, jak se operátoři k vyloučení postaví. S jasným vyjádřením teď ale přichází Vodafone. Člen vedení tuzemské mobilní trojky Quique Vivas řekl v rozhovoru pro HN, že Vodafone umožní čínské firmě dodávat komponenty jen pro okrajové části budoucí 5G sítě, nikoli do centrálních či strategických částí. Pro Česko tedy bude platit stejný přístup, jaký mateřská skupina zvolila ve Velké Británii.",21.05.2020
